Cracow,Poland,3094802
Cambridge,United Kingdom,2653941
Venice,Italy,3164603
Windsor,United Kingdom,2633842
Washington,United States,6955110
Genoa,Italy,3176219
Chatsworth,United Kingdom,7294831
Northampton,United States,4776500
Frankfort,Germany,2925533
Cologne,Germany,2886242
Newport (Rhode Island),United States,6523980
Salisbury,United Kingdom,2638664
Cassel,Germany,2940238
Newport,United Kingdom,7301611
