FlorentineDrawings_IdentifierBB1961,BB_1961_number_letter,,,,BB_1938_number_letter,BB_1938_FirstPageNumber,BB_1938_LastPageNumber,BB_1903_number_letter,BB_1903_number_sortable,BB_1903_FirstPageNumber,BB_1903_LastPageNumber,1903_IIIF_URL,1903_200px_image,1903_500px_image
0000021-Berenson,21,,7,,21,2,,21,21,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
0000022-Berenson,22,,,,22,2,,22,22,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
000036A-Berenson,36,A,,,36 A,3,,23,23,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
0000024-Berenson,24,,,,24,2,,24,24,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
0000025-Berenson,25,,,,25,2,,25,25,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
0000026-Berenson,26,,,,26,2,,26,26,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
0000027-Berenson,27,,,,27,2,,27,27,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
0000028-Berenson,28,,,,28,2,,28,28,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
0000029-Berenson,29,,,,29,3,,29,29,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
0000030-Berenson,30,,,,30,3,,30,30,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
0000031-Berenson,31,,,,31,3,,31,31,2,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$13i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__013.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__013.jpg
0000032-Berenson,32,,,,32,3,,32,32,3,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$14i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__014.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__014.jpg
