FlorentineDrawings_IdentifierBB1961,BB_1961_number_letter,,,,BB_1938_number_letter,BB_1938_FirstPageNumber,BB_1938_LastPageNumber,BB_1903_number_letter,BB_1903_number_sortable,BB_1903_FirstPageNumber,BB_1903_LastPageNumber,1903_IIIF_URL,1903_200px_image,1903_500px_image
0000337-Berenson,337,,,,337,33,,337,337,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000338-Berenson,338,,,,338,33,,338,338,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000339-Berenson,339,,,,339,33,,339,339,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000340-Berenson,340,,,,340,33,,340,340,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000341-Berenson,341,,,,341,33,,341,341,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000342-Berenson,342,,,,342,33,,342,342,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000343-Berenson,343,,,,343,33,,343,343,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000344-Berenson,344,,,,344,33,,344,344,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000345-Berenson,345,,,,345,33,,345,345,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000346-Berenson,346,,,,346,33,,346,346,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000347-Berenson,347,,,,347,33,,347,347,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000348-Berenson,348,,,,348,33,,348,348,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000349-Berenson,349,,,,349,33,,349,349,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000350-Berenson,350,,,,350,33,,350,350,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000351-Berenson,351,,,,351,34,,351,351,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000352-Berenson,352,,,,352,34,,352,352,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000353-Berenson,353,,,,353,34,,353,353,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000354-Berenson,354,,,,354,34,,354,354,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000355-Berenson,355,,,,355,34,,355,355,18,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$47i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__047.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__047.jpg
0000356-Berenson,356,,,,356,34,,356,356,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000357-Berenson,357,,,,357,34,,357,357,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000358-Berenson,358,,,,358,34,,358,358,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000359-Berenson,359,,,,359,34,,359,359,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000360-Berenson,360,,,,360,34,,360,360,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000361-Berenson,361,,,,361,34,,361,361,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000362-Berenson,362,,,,362,34,,362,362,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000363-Berenson,363,,,,363,34,,363,363,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000364-Berenson,364,,,,364,34,,364,364,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000365-Berenson,365,,,,365,34,,365,365,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000366-Berenson,366,,,,366,34,,366,366,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000367-Berenson,367,,,,367,34,,367,367,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000368-Berenson,368,,,,368,34,,368,368,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000369-Berenson,369,,,,369,34,,369,369,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000370-Berenson,370,,,,370,34,,370,370,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000371-Berenson,371,,,,371,34,,371,371,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000372-Berenson,372,,,,372,34,,372,372,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000373-Berenson,373,,,,373,34,,373,373,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000374-Berenson,374,,,,374,34,,374,374,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000375-Berenson,375,,,,375,35,,375,375,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000376-Berenson,376,,,,376,35,,376,376,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000377-Berenson,377,,,,377,35,,377,377,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000378-Berenson,378,,,,378,35,,378,378,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000379-Berenson,379,,,,379,35,,379,379,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000380-Berenson,380,,,,380,35,,380,380,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000381-Berenson,381,,,,381,35,,381,381,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000382-Berenson,382,,,,382,35,,382,382,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000383-Berenson,383,,,,383,35,,383,383,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000384-Berenson,384,,,,384,35,,384,384,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000385-Berenson,385,,,,385,35,,385,385,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000386-Berenson,386,,,,386,35,,386,386,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000387-Berenson,387,,,,387,35,,387,387,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000388-Berenson,388,,,,388,35,,388,388,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000389-Berenson,389,,,,389,35,,389,389,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000390-Berenson,390,,,,390,35,,390,390,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000391-Berenson,391,,,,391,36,,391,391,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000392-Berenson,392,,,,392,36,,392,392,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000393-Berenson,393,,,,393,36,,393,393,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
00394_2-Berenson,394,(2),,,394 (2),36,,394,394,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
00394_1-Berenson,394 (1),,66,,394 (1),36,,394,394,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000395-Berenson,395,,,,395,36,,395,395,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000396-Berenson,396,,,,396,36,,396,396,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000397-Berenson,397,,66,,397,36,,397,397,19,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$48i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__048.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__048.jpg
0000398-Berenson,398,,66,,398,36,,398,398,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000399-Berenson,399,,,,399,36,,399,399,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000400-Berenson,400,,,,400,36,,400,400,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000401-Berenson,401,,,,401,36,,401,401,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000402-Berenson,402,,,,402,36,,402,402,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000403-Berenson,403,,,,403,36,,403,403,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000404-Berenson,404,,,,404,37,,404,404,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
000404A-Berenson,404,A,,,404 A,37,,404 A,404,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000405-Berenson,405,,,,405,37,,405,405,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000406-Berenson,406,,,,406,37,,406,406,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000407-Berenson,407,,,,407,37,,407,407,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000408-Berenson,408,,,,408,37,,408,408,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000409-Berenson,409,,,,409,37,,409,409,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000410-Berenson,410,,,,410,37,,410,410,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000411-Berenson,411,,,,411,37,,411,411,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000412-Berenson,412,,,,412,37,,412,412,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000413-Berenson,413,,,,413,37,,413,413,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000414-Berenson,414,,,,414,37,,414,414,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000415-Berenson,415,,,,415,37,,415,415,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000416-Berenson,416,,,,416,37,,416,416,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000417-Berenson,417,,,,417,37,,417,417,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000418-Berenson,418,,68,,418,38,,418,418,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000419-Berenson,419,,,,419,38,,419,419,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000420-Berenson,420,,,,420,38,,420,420,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000421-Berenson,421,,,,421,38,,421,421,20,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$51i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__051.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__051.jpg
0000422-Berenson,422,,,,422,38,,422,422,21,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$54i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__054.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__054.jpg
0000423-Berenson,423,,,,423,38,,423,423,21,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$54i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__054.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__054.jpg
0000424-Berenson,424,,,,424,38,,424,424,21,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$54i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__054.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__054.jpg
000212A-Berenson,212 A,,47,,212 A,24,,425,425,21,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$54i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__054.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__054.jpg
000210B-Berenson,210 B,,46,,210 B,24,,426,426,21,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$54i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__054.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__054.jpg
0000427-Berenson,427,,,,427,38,,427,427,21,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$54i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__054.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__054.jpg
0424C_1-Berenson,424,C,(1),,424 C,38,,428,428,21,,http://iiif.lib.harvard.edu/manifests/view/drs:423367548$54i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text200/32044103928974--__054.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/text500/32044103928974--__054.jpg
