FlorentineDrawings_IdentifierBB1961,BB_1903_PlateNumber,plate_number_arabic,plate_arabic_w_leading_zeros,BB_1903_number_letter,Verso?,SEQUENCE NUMBER,,,,IIIF_1903plate_URL,Plate AWS 200px Thumbnail,Plate AWS 500px Thumbnail
0001948-Berenson,XXII,22,022,1948,,156,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$156i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_022.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_022.jpg
0002783-Berenson,XXIII,23,023,2783,,160,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$160i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_023.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_023.jpg
0002783-Berenson,XXIII,23,023,2783,VERSO,160,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$160i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_023.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_023.jpg
0002690-Berenson,XXIV,24,024,2690,,170,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$170i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_024.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_024.jpg
0002691-Berenson,XXV,25,025,2691,,174,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$174i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_025.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_025.jpg
0002707-Berenson,XXVI,26,026,2707,,180,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$180i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_026.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_026.jpg
0000589-Berenson,XXVII,27,027,589,,184,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$184i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_027.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_027.jpg
0000590-Berenson,XXVIII,28,028,590,,194,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$194i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_028.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_028.jpg
0000691-Berenson,XXIX,29,029,691,,198,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$198i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_029.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_029.jpg
0000709-Berenson,XXX,30,030,709,,204,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$204i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_030.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_030.jpg
