FlorentineDrawings_IdentifierBB1961,BB_1903_PlateNumber,plate_number_arabic,plate_arabic_w_leading_zeros,BB_1903_number_letter,Verso?,SEQUENCE NUMBER,,,,IIIF_1903plate_URL,Plate AWS 200px Thumbnail,Plate AWS 500px Thumbnail
494AFol14-Berenson,LXXXIX,89,089,496,,68,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$68i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_089.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_089.jpg
494AFol10-Berenson,XC,90,090,499,VERSO,72,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$72i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_090.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_090.jpg
0000468-Berenson,XCI,91,091,468,,76,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$76i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_091.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_091.jpg
0000319-Berenson,XCII,92,092,319,,80,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$80i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_092.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_092.jpg
0000013-Berenson,XCIII,93,093,13,,84,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$84i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_093.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_093.jpg
0000017-Berenson,XCIV,94,094,17,,86,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$86i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_094.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_094.jpg
0000006-Berenson,XCV,95,095,6,,90,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$90i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_095.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_095.jpg
001785A-Berenson,XCVI,96,096,1785 A,,94,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$94i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_096.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_096.jpg
0002728-Berenson,XCVII,97,097,2728,VERSO,98,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$98i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_097.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_097.jpg
001010A-Berenson,XCVIII,98,098,1072,,102,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$102i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_098.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_098.jpg
0001015-Berenson,XCIX,99,099,1015,,106,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$106i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_099.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_099.jpg
0001069-Berenson,C,100,100,1069,,110,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$110i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_100.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_100.jpg
0001068-Berenson,CI,101,101,1068,,114,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$114i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_101.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_101.jpg
001010B-Berenson,CII,102,102,1073,,118,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$118i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_102.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_102.jpg
0001020-Berenson,CIII,103,103,1020,,120,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$120i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_103.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_103.jpg
0001214-Berenson,CIV,104,104,1214,,124,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$124i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_104.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_104.jpg
0001215-Berenson,CV,105,105,1215,,128,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$128i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_105.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_105.jpg
0001216-Berenson,CVI,106,106,1216,,132,,,SHOULD COME AFTER P.58,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$132i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_106.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_106.jpg
0001145-Berenson,CVII,107,107,1145,,136,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$136i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_107.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_107.jpg
0001141-Berenson,CVIII,108,108,1141,,140,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$140i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_108.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_108.jpg
0001039-Berenson,CIX,109,109,1039,,144,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$144i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_109.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_109.jpg
0001102-Berenson,CX,110,110,1102,,148,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$148i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_110.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_110.jpg
0001063-Berenson,CXI,111,111,1063,,152,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$152i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_111.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_111.jpg
0001061-Berenson,CXII,112,112,1061,,156,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$156i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_112.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_112.jpg
0001154-Berenson,CXIII,113,113,1154,,160,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$160i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_113.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_113.jpg
0001035-Berenson,CXIV,114,114,1035,,164,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$164i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_114.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_114.jpg
0001011-Berenson,CXV,115,115,1011,,168,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$168i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_115.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_115.jpg
0001012-Berenson,CXVI,116,116,1012,,172,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$172i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_116.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_116.jpg
0001153-Berenson,CXVII,117,117,1153,,176,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$176i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_117.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_117.jpg
0001117-Berenson,CXVIII,118,118,1117,,180,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$180i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_118.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_118.jpg
0001123-Berenson,CXIX,119,119,1123,,184,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$184i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_119.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_119.jpg
001010H-Berenson,CXX,120,120,1079,,188,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$188i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_120.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_120.jpg
0001064-Berenson,CXX,120,120,1064,,188,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$188i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_120.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_120.jpg
0001037-Berenson,CXXI,121,121,1037,,192,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$192i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_121.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_121.jpg
0001118-Berenson,CXXII,122,122,1118,,196,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$196i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_122.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_122.jpg
0001125-Berenson,CXXIII,123,123,1125,,200,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$200i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_123.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_123.jpg
0001173-Berenson,CXXIV,124,124,1173,,204,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$204i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_124.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_124.jpg
0001101-Berenson,CXXV,125,125,1101,,208,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$208i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_125.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_125.jpg
0001522-Berenson,CXXVI,126,126,1522,,212,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$212i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_126.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_126.jpg
0001521-Berenson,CXXVII,127,127,1521,,216,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$216i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_127.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_127.jpg
0001396-Berenson,CXXVIII,128,128,1396,,220,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$220i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_128.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_128.jpg
0001401-Berenson,CXXIX,129,129,1401,,224,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$224i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_129.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_129.jpg
0001551-Berenson,CXXX,130,130,1551,,228,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$228i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_130.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_130.jpg
0001552-Berenson,CXXXI,131,131,1552,,232,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$232i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_131.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_131.jpg
0001553-Berenson,CXXXII,132,132,1553,,236,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$236i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_132.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_132.jpg
0001482-Berenson,CXXXIII,133,133,1482,,240,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$240i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_133.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_133.jpg
0001562-Berenson,CXXXIV,134,134,1562,,244,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$244i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_134.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_134.jpg
0001564-Berenson,CXXXV,135,135,1564,,248,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$248i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_135.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_135.jpg
0001487-Berenson,CXXXVI,136,136,1487,,252,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$252i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_136.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_136.jpg
0001490-Berenson,CXXXVII,137,137,1490,,256,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$256i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_137.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_137.jpg
0001611-Berenson,CXXXVIII,138,138,1611,,260,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$260i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_138.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_138.jpg
0001613-Berenson,CXXXIX,139,139,1613,,264,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$264i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_139.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_139.jpg
0001617-Berenson,CXL,140,140,1617,,268,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$268i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_140.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_140.jpg
0001616-Berenson,CXLI,141,141,1616,,272,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$272i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_141.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_141.jpg
0001507-Berenson,CXLII,142,142,1507,,276,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$276i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_142.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_142.jpg
0001615-Berenson,CXLIII,143,143,1615,,280,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$280i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_143.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_143.jpg
0001536-Berenson,CXLIV,144,144,1536,,284,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$284i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_144.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_144.jpg
0001586-Berenson,CXLV,145,145,1586,,288,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$288i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_145.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_145.jpg
0002487-Berenson,CXLVI,146,146,2487,,292,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$292i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_146.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_146.jpg
0002486-Berenson,CXLVII,147,147,2486,,296,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$296i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_147.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_147.jpg
0001504-Berenson,CXLVIII,148,148,1504,,300,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$300i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_148.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_148.jpg
0002482-Berenson,CXLIX,149,149,2482,,304,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$304i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_149.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_149.jpg
0000607-Berenson,CLI,151,151,607,,312,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$312i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_151.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_151.jpg
0001728-Berenson,CLII,152,152,1728,,316,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$316i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_152.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_152.jpg
0001640-Berenson,CLIII,153,153,1640,,320,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$320i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_153.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_153.jpg
0001699-Berenson,CLIV,154,154,1699,VERSO,324,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$324i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_154.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_154.jpg
000113C-Berenson,CLV,155,155,73,,328,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$328i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_155.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_155.jpg
0000151-Berenson,CLVI,156,156,151,,332,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$332i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_156.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_156.jpg
0000106-Berenson,CLVII,157,157,106,,336,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$336i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_157.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_157.jpg
0000152-Berenson,CLVIII,158,158,152,,340,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$340i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_158.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_158.jpg
0000148-Berenson,CLIX,159,159,148,,344,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$344i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_159.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_159.jpg
0000138-Berenson,CLX,160,160,138,,348,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$348i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_160.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_160.jpg
0001630-Berenson,CLXI,161,161,1630,,308,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$308i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_161.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_161.jpg
0000143-Berenson,CLXI,161,161,143,,352,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$352i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_161.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_161.jpg
0000095-Berenson,CLXII,162,162,95,,356,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$356i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_162.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_162.jpg
0000131-Berenson,CLXIII,163,163,131,,360,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$360i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_163.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_163.jpg
0000150-Berenson,CLXIV,164,164,150,,364,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$364i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_164.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_164.jpg
0000755-Berenson,CLXV,165,165,755,,368,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$368i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_165.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_165.jpg
0000749-Berenson,CLXVI,166,166,749,,372,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$372i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_166.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_166.jpg
0002372-Berenson,CLXVII,167,167,2372,,376,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$376i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_167.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_167.jpg
0000183-Berenson,CLXVIII,168,168,183,,378,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$378i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_168.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_168.jpg
2248A.2-Berenson,CLXIX,169,169,1965,,382,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$382i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_169.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_169.jpg
0001977-Berenson,CLXX,170,170,1977,,386,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$386i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_170.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_170.jpg
0001979-Berenson,CLXXI,171,171,1979,,390,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$390i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_171.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_171.jpg
0002252-Berenson,CLXXII,172,172,2252,,394,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$394i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_172.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_172.jpg
0001964-Berenson,CLXXIII,173,173,1964,,396,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$396i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_173.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_173.jpg
002181A-Berenson,CLXXIV,174,174,2002,,400,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$400i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_174.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_174.jpg
0001974-Berenson,CLXXV,175,175,1974,,404,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$404i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_175.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_175.jpg
0002073-Berenson,CLXXVI,176,176,2073,,408,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$408i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_176.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_176.jpg
0002086-Berenson,CLXXVII,177,177,2086,,412,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$412i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_177.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_177.jpg
000599A-Berenson,CLXXVIII,178,178,594,,414,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$414i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_178.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_178.jpg
0002450-Berenson,CLXXIX,179,179,2450,,418,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$418i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_179.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_179.jpg
0002401-Berenson,CLXXX,180,180,2401,,422,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423367549$422i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_180.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_180.jpg
