0000017-Berenson1961,"Albertinelli, Mariotto",17,"Albertinelli, Mariotto",17,"Albertinelli, Mariotto"
0001624-Berenson1961,"Buonarroti, Michelangelo",1624,1624,"Buonarroti, Michelangelo",1624,"Buonarroti, Michelangelo"
0001626-Berenson1961,"Buonarroti, Michelangelo",1626,1626,"Buonarroti, Michelangelo",1626,"Buonarroti, Michelangelo"
0001627-Berenson1961,"Buonarroti, Michelangelo",1627,1627,"Buonarroti, Michelangelo",1627,"Buonarroti, Michelangelo"
0001629-Berenson1961,"Buonarroti, Michelangelo",1629,1629,"Buonarroti, Michelangelo",1629,"Buonarroti, Michelangelo"
0001630-Berenson1961,"Buonarroti, Michelangelo",1630,1630,"Buonarroti, Michelangelo",1630,"Buonarroti, Michelangelo"
0001631-Berenson1961,"Buonarroti, Michelangelo",1631,1631,"Buonarroti, Michelangelo",1631,"Buonarroti, Michelangelo"
0001632-Berenson1961,"Buonarroti, Michelangelo",1632,1632,"Buonarroti, Michelangelo",1632,"Buonarroti, Michelangelo"
0001634-Berenson1961,"Buonarroti, Michelangelo",1634,1634,"Buonarroti, Michelangelo",1634,"Buonarroti, Michelangelo"
0001635-Berenson1961,"Buonarroti, Michelangelo",1635,1635,"Buonarroti, Michelangelo",1635,"Buonarroti, Michelangelo"
0001637-Berenson1961,"Buonarroti, Michelangelo",1637,1637,"Buonarroti, Michelangelo",1637,"Buonarroti, Michelangelo"
0001638-Berenson1961,"Buonarroti, Michelangelo",1638,1638,"Buonarroti, Michelangelo",1638,"Buonarroti, Michelangelo"
0001639-Berenson1961,"Buonarroti, Michelangelo",1639,1639,"Buonarroti, Michelangelo",1639,"Buonarroti, Michelangelo"
0001640-Berenson1961,"Buonarroti, Michelangelo",1640,1640,"Buonarroti, Michelangelo",1640,"Buonarroti, Michelangelo"
0001642-Berenson1961,"Buonarroti, Michelangelo",1642,1642,"Buonarroti, Michelangelo",1642,"Buonarroti, Michelangelo"
0001643-Berenson1961,"Buonarroti, Michelangelo",1643,1643,"Buonarroti, Michelangelo",1643,"Buonarroti, Michelangelo"
0001644-Berenson1961,"Buonarroti, Michelangelo",1644,1644,"Buonarroti, Michelangelo",1644,"Buonarroti, Michelangelo"
0001645-Berenson1961,"Buonarroti, Michelangelo",1645,1645,"Buonarroti, Michelangelo",1645,"Buonarroti, Michelangelo"
001645A-Berenson1961,"Buonarroti, Michelangelo",1645 A,1645 A,"Buonarroti, Michelangelo",1625,"Buonarroti, Michelangelo"
001645B-Berenson1961,"Buonarroti, Michelangelo",1645 B,1645 B,"Buonarroti, Michelangelo",1645 A,"Buonarroti, Michelangelo"
0001646-Berenson1961,"Buonarroti, Michelangelo",1646,1646,"Buonarroti, Michelangelo",1646,"Buonarroti, Michelangelo"
0001647-Berenson1961,"Buonarroti, Michelangelo",1647,1647,"Buonarroti, Michelangelo",1647,"Buonarroti, Michelangelo"
0001648-Berenson1961,"Buonarroti, Michelangelo",1648,1648,"Buonarroti, Michelangelo",1648,"Buonarroti, Michelangelo"
0001649-Berenson1961,"Buonarroti, Michelangelo",1649,1649,"Buonarroti, Michelangelo",1649,"Buonarroti, Michelangelo"
0001650-Berenson1961,"Buonarroti, Michelangelo",1650,1650,"Buonarroti, Michelangelo",1650,"Buonarroti, Michelangelo"
0001651-Berenson1961,"Buonarroti, Michelangelo",1651,1651,"Buonarroti, Michelangelo",1651,"Buonarroti, Michelangelo"
0001652-Berenson1961,"Buonarroti, Michelangelo",1652,1652,"Buonarroti, Michelangelo",1652,"Buonarroti, Michelangelo"
0001653-Berenson1961,"Buonarroti, Michelangelo",1653,1653,"Buonarroti, Michelangelo",1653,"Buonarroti, Michelangelo"
0001655-Berenson1961,"Buonarroti, Michelangelo",1655,1655,"Buonarroti, Michelangelo",1655,"Buonarroti, Michelangelo"
0001656-Berenson1961,"Buonarroti, Michelangelo",1656,1656,"Buonarroti, Michelangelo",1656,"Buonarroti, Michelangelo"
0001657-Berenson1961,"Buonarroti, Michelangelo",1657,1657,"Buonarroti, Michelangelo",1657,"Buonarroti, Michelangelo"
0001658-Berenson1961,"Buonarroti, Michelangelo",1658,1658,"Buonarroti, Michelangelo",1658,"Buonarroti, Michelangelo"
0001659-Berenson1961,"Buonarroti, Michelangelo",1659,1659,"Buonarroti, Michelangelo",1659,"Buonarroti, Michelangelo"
0001661-Berenson1961,"Buonarroti, Michelangelo",1661,1661,"Buonarroti, Michelangelo",1661,"Buonarroti, Michelangelo"
0001662-Berenson1961,"Buonarroti, Michelangelo",1662,1662,"Buonarroti, Michelangelo",1662,"Buonarroti, Michelangelo"
0001663-Berenson1961,"Buonarroti, Michelangelo",1663,1663,"Buonarroti, Michelangelo",1663,"Buonarroti, Michelangelo"
0001664-Berenson1961,"Buonarroti, Michelangelo",1664,1664,"Buonarroti, Michelangelo",1664,"Buonarroti, Michelangelo"
0001665-Berenson1961,"Buonarroti, Michelangelo",1665,1665,"Buonarroti, Michelangelo",1665,"Buonarroti, Michelangelo"
0001666-Berenson1961,"Buonarroti, Michelangelo",1666,1666,"Buonarroti, Michelangelo",1666,"Buonarroti, Michelangelo"
0001667-Berenson1961,"Buonarroti, Michelangelo",1667,1667,"Buonarroti, Michelangelo",1667,"Buonarroti, Michelangelo"
0001668-Berenson1961,"Buonarroti, Michelangelo",1668,1668,"Buonarroti, Michelangelo",1668,"Buonarroti, Michelangelo"
0001669-Berenson1961,"Buonarroti, Michelangelo",1669,1669,"Buonarroti, Michelangelo",1669,"Buonarroti, Michelangelo"
0001670-Berenson1961,"Buonarroti, Michelangelo",1670,1670,"Buonarroti, Michelangelo",1670,"Buonarroti, Michelangelo"
0001671-Berenson1961,"Buonarroti, Michelangelo",1671,1671,"Buonarroti, Michelangelo",1671,"Buonarroti, Michelangelo"
0001672-Berenson1961,"Buonarroti, Michelangelo",1672,1672,"Buonarroti, Michelangelo",1672,"Buonarroti, Michelangelo"
0001673-Berenson1961,"Buonarroti, Michelangelo",1673,1673,"Buonarroti, Michelangelo",1673,"Buonarroti, Michelangelo"
0001674-Berenson1961,"Buonarroti, Michelangelo",1674,1674,"Buonarroti, Michelangelo",1674,"Buonarroti, Michelangelo"
0001675-Berenson1961,"Buonarroti, Michelangelo",1675,1675,"Buonarroti, Michelangelo",1675,"Buonarroti, Michelangelo"
0001677-Berenson1961,"Buonarroti, Michelangelo",1677,1677,"Buonarroti, Michelangelo",1677,"Buonarroti, Michelangelo"
0001678-Berenson1961,"Buonarroti, Michelangelo",1678,1678,"Buonarroti, Michelangelo",1678,"Buonarroti, Michelangelo"
0001679-Berenson1961,"Buonarroti, Michelangelo",1679,1679,"Buonarroti, Michelangelo",1679,"Buonarroti, Michelangelo"
0001680-Berenson1961,"Buonarroti, Michelangelo",1680,1680,"Buonarroti, Michelangelo",1680,"Buonarroti, Michelangelo"
0001681-Berenson1961,"Buonarroti, Michelangelo",1681,1681,"Buonarroti, Michelangelo",1681,"Buonarroti, Michelangelo"
0001682-Berenson1961,"Buonarroti, Michelangelo",1682,1682,"Buonarroti, Michelangelo",1682,"Buonarroti, Michelangelo"
0001683-Berenson1961,"Buonarroti, Michelangelo",1683,1683,"Buonarroti, Michelangelo",1683,"Buonarroti, Michelangelo"
0001684-Berenson1961,"Buonarroti, Michelangelo",1684,1684,"Buonarroti, Michelangelo",1684,"Buonarroti, Michelangelo"
0001685-Berenson1961,"Buonarroti, Michelangelo",1685,1685,"Buonarroti, Michelangelo",1685,"Buonarroti, Michelangelo"
0001686-Berenson1961,"Buonarroti, Michelangelo",1686,1686,"Buonarroti, Michelangelo",1686,"Buonarroti, Michelangelo"
001686A-Berenson1961,"Buonarroti, Michelangelo",1686 A,1686 A,"Buonarroti, Michelangelo",1686 A,"Buonarroti, Michelangelo"
0001687-Berenson1961,"Buonarroti, Michelangelo",1687,1687,"Buonarroti, Michelangelo",1687,"Buonarroti, Michelangelo"
0001688-Berenson1961,"Buonarroti, Michelangelo",1688,1688,"Buonarroti, Michelangelo",1688,"Buonarroti, Michelangelo"
0001689-Berenson1961,"Buonarroti, Michelangelo",1689,1689,"Buonarroti, Michelangelo",1689,"Buonarroti, Michelangelo"
0001690-Berenson1961,"Buonarroti, Michelangelo",1690,1690,"Buonarroti, Michelangelo",1690,"Buonarroti, Michelangelo"
0001691-Berenson1961,"Buonarroti, Michelangelo",1691,1691,"Buonarroti, Michelangelo",1691,"Buonarroti, Michelangelo"
0001692-Berenson1961,"Buonarroti, Michelangelo",1692,1692,"Buonarroti, Michelangelo",1692,"Buonarroti, Michelangelo"
0001697-Berenson1961,"Buonarroti, Michelangelo",1697,1697,"Buonarroti, Michelangelo",1697,"Buonarroti, Michelangelo"
001697B-Berenson1961,"Buonarroti, Michelangelo",1697 B,1697 B,"Buonarroti, Michelangelo",1693,"Buonarroti, Michelangelo"
001697C-Berenson1961,"Buonarroti, Michelangelo",1697 C,1696,"Buonarroti, Michelangelo",1696,"Buonarroti, Michelangelo"
0001698-Berenson1961,"Buonarroti, Michelangelo",1698,1698,"Buonarroti, Michelangelo",1698,"Buonarroti, Michelangelo"
0001699-Berenson1961,"Buonarroti, Michelangelo",1699,1699,"Buonarroti, Michelangelo",1699,"Buonarroti, Michelangelo"
0001701-Berenson1961,"Buonarroti, Michelangelo",1701,1701,"Buonarroti, Michelangelo",1701,"Buonarroti, Michelangelo"
0001704-Berenson1961,"Buonarroti, Michelangelo",1704,1704,"Buonarroti, Michelangelo",1704,"Buonarroti, Michelangelo"
0001705-Berenson1961,"Buonarroti, Michelangelo",1705,1705,"Buonarroti, Michelangelo",1705,"Buonarroti, Michelangelo"
0001706-Berenson1961,"Buonarroti, Michelangelo",1706,1706,"Buonarroti, Michelangelo",1706,"Buonarroti, Michelangelo"
0001707-Berenson1961,"Buonarroti, Michelangelo",1707,1707,"Buonarroti, Michelangelo",1707,"Buonarroti, Michelangelo"
0001708-Berenson1961,"Buonarroti, Michelangelo",1708,1708,"Buonarroti, Michelangelo",1708,"Buonarroti, Michelangelo"
0001709-Berenson1961,"Buonarroti, Michelangelo",1709,1709,"Buonarroti, Michelangelo",1709,"Buonarroti, Michelangelo"
0001710-Berenson1961,"Buonarroti, Michelangelo",1710,1710,"Buonarroti, Michelangelo",1710,"Buonarroti, Michelangelo"
0001711-Berenson1961,"Buonarroti, Michelangelo",1711,1711,"Buonarroti, Michelangelo",1711,"Buonarroti, Michelangelo"
0001712-Berenson1961,"Buonarroti, Michelangelo",1712,1712,"Buonarroti, Michelangelo",1712,"Buonarroti, Michelangelo"
0001713-Berenson1961,"Buonarroti, Michelangelo",1713,1713,"Buonarroti, Michelangelo",1713,"Buonarroti, Michelangelo"
0001714-Berenson1961,"Buonarroti, Michelangelo",1714,1714,"Buonarroti, Michelangelo",1714,"Buonarroti, Michelangelo"
0001715-Berenson1961,"Buonarroti, Michelangelo",1715,1715,"Buonarroti, Michelangelo",1715,"Buonarroti, Michelangelo"
0001716-Berenson1961,"Buonarroti, Michelangelo",1716,1716,"Buonarroti, Michelangelo",1716,"Buonarroti, Michelangelo"
0001717-Berenson1961,"Buonarroti, Michelangelo",1717,1717,"Buonarroti, Michelangelo",1717,"Buonarroti, Michelangelo"
0001718-Berenson1961,"Buonarroti, Michelangelo",1718,1718,"Buonarroti, Michelangelo",1718,"Buonarroti, Michelangelo"
0001719-Berenson1961,"Buonarroti, Michelangelo",1719,1719,"Buonarroti, Michelangelo",1719,"Buonarroti, Michelangelo"
0001720-Berenson1961,"Buonarroti, Michelangelo",1720,1720,"Buonarroti, Michelangelo",1720,"Buonarroti, Michelangelo"
0001722-Berenson1961,"Buonarroti, Michelangelo",1722,1722,"Buonarroti, Michelangelo",1722,"Buonarroti, Michelangelo"
0001723-Berenson1961,"Buonarroti, Michelangelo",1723,1723,"Buonarroti, Michelangelo",1723,"Buonarroti, Michelangelo"
0001724-Berenson1961,"Buonarroti, Michelangelo",1724,1724,"Buonarroti, Michelangelo",1724,"Buonarroti, Michelangelo"
0001725-Berenson1961,"Buonarroti, Michelangelo",1725,1725,"Buonarroti, Michelangelo",1725,"Buonarroti, Michelangelo"
0001726-Berenson1961,"Buonarroti, Michelangelo",1726,1726,"Buonarroti, Michelangelo",1726,"Buonarroti, Michelangelo"
0001727-Berenson1961,"Buonarroti, Michelangelo",1727,1727,"Buonarroti, Michelangelo",1727,"Buonarroti, Michelangelo"
0001728-Berenson1961,"Buonarroti, Michelangelo",1728,1728,"Buonarroti, Michelangelo",1728,"Buonarroti, Michelangelo"
0001729-Berenson1961,"Buonarroti, Michelangelo",1729,1729,"Buonarroti, Michelangelo",1729,"Buonarroti, Michelangelo"
0001730-Berenson1961,"Buonarroti, Michelangelo",1730,1730,"Buonarroti, Michelangelo",1730,"Buonarroti, Michelangelo"
0001731-Berenson1961,"Buonarroti, Michelangelo",1731,1731,"Buonarroti, Michelangelo",1731,"Buonarroti, Michelangelo"
0001732-Berenson1961,"Buonarroti, Michelangelo",1732,1732,"Buonarroti, Michelangelo",1732,"Buonarroti, Michelangelo"
0001734-Berenson1961,"Buonarroti, Michelangelo",1734,1734,"Buonarroti, Michelangelo",1734,"Buonarroti, Michelangelo"
0001735-Berenson1961,"Buonarroti, Michelangelo",1735,1735,"Buonarroti, Michelangelo",1735,"Buonarroti, Michelangelo"
0001736-Berenson1961,"Buonarroti, Michelangelo",1736,1736,"Buonarroti, Michelangelo",1736,"Buonarroti, Michelangelo"
0001737-Berenson1961,"Buonarroti, Michelangelo",1737,1737,"Buonarroti, Michelangelo",1737,"Buonarroti, Michelangelo"
0001738-Berenson1961,"Buonarroti, Michelangelo",1738,1738,"Buonarroti, Michelangelo",1738,"Buonarroti, Michelangelo"
0001739-Berenson1961,"Buonarroti, Michelangelo",1739,1739,"Buonarroti, Michelangelo",1739,"Buonarroti, Michelangelo"
0001740-Berenson1961,"Buonarroti, Michelangelo",1740,1740,"Buonarroti, Michelangelo",1740,"Buonarroti, Michelangelo"
0001741-Berenson1961,"Buonarroti, Michelangelo",1741,1741,"Buonarroti, Michelangelo",1741,"Buonarroti, Michelangelo"
0001742-Berenson1961,"Buonarroti, Michelangelo",1742,1742,"Buonarroti, Michelangelo",1742,"Buonarroti, Michelangelo"
0001743-Berenson1961,"Buonarroti, Michelangelo",1743,1743,"Buonarroti, Michelangelo",1743,"Buonarroti, Michelangelo"
0001744-Berenson1961,"Buonarroti, Michelangelo",1744,1744,"Buonarroti, Michelangelo",1744,"Buonarroti, Michelangelo"
0001745-Berenson1961,"Buonarroti, Michelangelo",1745,1745,"Buonarroti, Michelangelo",1745,"Buonarroti, Michelangelo"
0001746-Berenson1961,"Buonarroti, Michelangelo",1746,1746,"Buonarroti, Michelangelo",1746,"Buonarroti, Michelangelo"
01746A4-Berenson1961,"Buonarroti, Michelangelo",1746 A-4,1694,"Buonarroti, Michelangelo",1694,"Buonarroti, Michelangelo"
001747A-Berenson1961,"Buonarroti, Michelangelo",1747 A,1747 A,"Buonarroti, Michelangelo",1747 A,"Buonarroti, Michelangelo"
0001748-Berenson1961,"Buonarroti, Michelangelo",1748,1748,"Buonarroti, Michelangelo",1748,"Buonarroti, Michelangelo"
0001749-Berenson1961,"Buonarroti, Michelangelo",1749,1749,"Buonarroti, Michelangelo",1749,"Buonarroti, Michelangelo"
0001750-Berenson1961,"Buonarroti, Michelangelo",1750,1750,"Buonarroti, Michelangelo",1750,"Buonarroti, Michelangelo"
001750A-Berenson1961,"Buonarroti, Michelangelo",1750 A,1750 A,"Buonarroti, Michelangelo",1609,"Buonarroti, Michelangelo"
001750B-Berenson1961,"Buonarroti, Michelangelo",1619,"Buonarroti, Michelangelo",1619,"Buonarroti, Michelangelo"
0001396-Berenson1961,"Buonarroti, Michelangelo",1396,1396,"Buonarroti, Michelangelo",1396,"Buonarroti, Michelangelo"
001396A-Berenson1961,"Buonarroti, Michelangelo",1396 A,1396 A,"Buonarroti, Michelangelo",1539,"Buonarroti, Michelangelo"
0001397-Berenson1961,"Buonarroti, Michelangelo",1397,1397,"Buonarroti, Michelangelo",1397,"Buonarroti, Michelangelo"
001397B-Berenson1961,"Buonarroti, Michelangelo",1397 B,1397 B,"Buonarroti, Michelangelo",1600 A,"Buonarroti, Michelangelo"
01397B2-Berenson1961,"Buonarroti, Michelangelo",1628,"Buonarroti, Michelangelo",1628,"Buonarroti, Michelangelo"
001397C-Berenson1961,"Buonarroti, Michelangelo",1397 C,1397 C,"Buonarroti, Michelangelo",1636,"Buonarroti, Michelangelo"
0001398-Berenson1961,"Buonarroti, Michelangelo",1398,1398,"Buonarroti, Michelangelo",1398,"Buonarroti, Michelangelo"
001398A-Berenson1961,"Buonarroti, Michelangelo",1398 A,1398 A,"Buonarroti, Michelangelo",1641,"Buonarroti, Michelangelo"
0001399-Berenson1961,"Buonarroti, Michelangelo",1399,1399,"Buonarroti, Michelangelo",1399,"Buonarroti, Michelangelo"
001399A-Berenson1961,"Buonarroti, Michelangelo",1399 A,1399 A,"Buonarroti, Michelangelo",1399 A,"Buonarroti, Michelangelo"
001399B-Berenson1961,"Buonarroti, Michelangelo",1399 B,1399 B,"Buonarroti, Michelangelo",1399 B,"Buonarroti, Michelangelo"
001399C-Berenson1961,"Buonarroti, Michelangelo",1399 C,1399 C,"Buonarroti, Michelangelo",1399 C,"Buonarroti, Michelangelo"
001399D-Berenson1961,"Buonarroti, Michelangelo",1399 D,1399 D,"Buonarroti, Michelangelo",1399 D,"Buonarroti, Michelangelo"
001399E-Berenson1961,"Buonarroti, Michelangelo",1399 E,1399 E,"Buonarroti, Michelangelo",1399 E,"Buonarroti, Michelangelo"
001399F-Berenson1961,"Buonarroti, Michelangelo",1399 F,1399 F,"Buonarroti, Michelangelo",1399 F,"Buonarroti, Michelangelo"
001399G-Berenson1961,"Buonarroti, Michelangelo",1399 G,1399 G,"Buonarroti, Michelangelo",1399 G,"Buonarroti, Michelangelo"
001399H-Berenson1961,"Buonarroti, Michelangelo",1399 H,1399 H,"Buonarroti, Michelangelo",1399 H,"Buonarroti, Michelangelo"
001399I-Berenson1961,"Buonarroti, Michelangelo",1399 I,1399 I,"Buonarroti, Michelangelo",1399 I,"Buonarroti, Michelangelo"
001399K-Berenson1961,"Buonarroti, Michelangelo",1399 K,1399 K,"Buonarroti, Michelangelo",1654,"Buonarroti, Michelangelo"
0001400-Berenson1961,"Buonarroti, Michelangelo",1400,1400,"Buonarroti, Michelangelo",1400,"Buonarroti, Michelangelo"
0001401-Berenson1961,"Buonarroti, Michelangelo",1401,1401,"Buonarroti, Michelangelo",1401,"Buonarroti, Michelangelo"
0001402-Berenson1961,"Buonarroti, Michelangelo",1402,1402,"Buonarroti, Michelangelo",1402,"Buonarroti, Michelangelo"
0001403-Berenson1961,"Buonarroti, Michelangelo",1403,1403,"Buonarroti, Michelangelo",1403,"Buonarroti, Michelangelo"
001403A-Berenson1961,"Buonarroti, Michelangelo",1403 A,1403 A,"Buonarroti, Michelangelo",1660,"Buonarroti, Michelangelo"
0001404-Berenson1961,"Buonarroti, Michelangelo",1404,1404,"Buonarroti, Michelangelo",1404,"Buonarroti, Michelangelo"
0001405-Berenson1961,"Buonarroti, Michelangelo",1405,1405,"Buonarroti, Michelangelo",1405,"Buonarroti, Michelangelo"
0001406-Berenson1961,"Buonarroti, Michelangelo",1406,1406,"Buonarroti, Michelangelo",1406,"Buonarroti, Michelangelo"
0001407-Berenson1961,"Buonarroti, Michelangelo",1407,1407,"Buonarroti, Michelangelo",1407,"Buonarroti, Michelangelo"
0001408-Berenson1961,"Buonarroti, Michelangelo",1408,1408,"Buonarroti, Michelangelo",1408,"Buonarroti, Michelangelo"
0001409-Berenson1961,"Buonarroti, Michelangelo",1409,1409,"Buonarroti, Michelangelo",1409,"Buonarroti, Michelangelo"
0001410-Berenson1961,"Buonarroti, Michelangelo",1410,1410,"Buonarroti, Michelangelo",1410,"Buonarroti, Michelangelo"
0001411-Berenson1961,"Buonarroti, Michelangelo",1411,1411,"Buonarroti, Michelangelo",1411,"Buonarroti, Michelangelo"
0001412-Berenson1961,"Buonarroti, Michelangelo",1412,1412,"Buonarroti, Michelangelo",1412,"Buonarroti, Michelangelo"
0001413-Berenson1961,"Buonarroti, Michelangelo",1413,1413,"Buonarroti, Michelangelo",1413,"Buonarroti, Michelangelo"
0001414-Berenson1961,"Buonarroti, Michelangelo",1414,1414,"Buonarroti, Michelangelo",1414,"Buonarroti, Michelangelo"
0001415-Berenson1961,"Buonarroti, Michelangelo",1415,1415,"Buonarroti, Michelangelo",1415,"Buonarroti, Michelangelo"
0001416-Berenson1961,"Buonarroti, Michelangelo",1416,1416,"Buonarroti, Michelangelo",1416,"Buonarroti, Michelangelo"
0001417-Berenson1961,"Buonarroti, Michelangelo",1417,1417,"Buonarroti, Michelangelo",1417,"Buonarroti, Michelangelo"
0001418-Berenson1961,"Buonarroti, Michelangelo",1418,1418,"Buonarroti, Michelangelo",1418,"Buonarroti, Michelangelo"
0001419-Berenson1961,"Buonarroti, Michelangelo",1419,1419,"Buonarroti, Michelangelo",1419,"Buonarroti, Michelangelo"
0001420-Berenson1961,"Buonarroti, Michelangelo",1420,1420,"Buonarroti, Michelangelo",1420,"Buonarroti, Michelangelo"
0001421-Berenson1961,"Buonarroti, Michelangelo",1421,1421,"Buonarroti, Michelangelo",1421,"Buonarroti, Michelangelo"
0001422-Berenson1961,"Buonarroti, Michelangelo",1422,1422,"Buonarroti, Michelangelo",1422,"Buonarroti, Michelangelo"
0001423-Berenson1961,"Buonarroti, Michelangelo",1423,1423,"Buonarroti, Michelangelo",1423,"Buonarroti, Michelangelo"
0001424-Berenson1961,"Buonarroti, Michelangelo",1424,1424,"Buonarroti, Michelangelo",1424,"Buonarroti, Michelangelo"
0001425-Berenson1961,"Buonarroti, Michelangelo",1425,1425,"Buonarroti, Michelangelo",1425,"Buonarroti, Michelangelo"
0001426-Berenson1961,"Buonarroti, Michelangelo",1426,1426,"Buonarroti, Michelangelo",1426,"Buonarroti, Michelangelo"
0001427-Berenson1961,"Buonarroti, Michelangelo",1427,1427,"Buonarroti, Michelangelo",1427,"Buonarroti, Michelangelo"
0001428-Berenson1961,"Buonarroti, Michelangelo",1428,1428,"Buonarroti, Michelangelo",1428,"Buonarroti, Michelangelo"
0001429-Berenson1961,"Buonarroti, Michelangelo",1429,1429,"Buonarroti, Michelangelo",1429,"Buonarroti, Michelangelo"
0001430-Berenson1961,"Buonarroti, Michelangelo",1430,1430,"Buonarroti, Michelangelo",1430,"Buonarroti, Michelangelo"
0001431-Berenson1961,"Buonarroti, Michelangelo",1431,1431,"Buonarroti, Michelangelo",1431,"Buonarroti, Michelangelo"
0001432-Berenson1961,"Buonarroti, Michelangelo",1432,1432,"Buonarroti, Michelangelo",1432,"Buonarroti, Michelangelo"
0001433-Berenson1961,"Buonarroti, Michelangelo",1433,1433,"Buonarroti, Michelangelo",1433,"Buonarroti, Michelangelo"
0001434-Berenson1961,"Buonarroti, Michelangelo",1434,1434,"Buonarroti, Michelangelo",1434,"Buonarroti, Michelangelo"
0001435-Berenson1961,"Buonarroti, Michelangelo",1435,1435,"Buonarroti, Michelangelo",1435,"Buonarroti, Michelangelo"
0001436-Berenson1961,"Buonarroti, Michelangelo",1436,1436,"Buonarroti, Michelangelo",1436,"Buonarroti, Michelangelo"
0001437-Berenson1961,"Buonarroti, Michelangelo",1437,1437,"Buonarroti, Michelangelo",1437,"Buonarroti, Michelangelo"
0001438-Berenson1961,"Buonarroti, Michelangelo",1438,1438,"Buonarroti, Michelangelo",1438,"Buonarroti, Michelangelo"
0001439-Berenson1961,"Buonarroti, Michelangelo",1439,1439,"Buonarroti, Michelangelo",1439,"Buonarroti, Michelangelo"
0001440-Berenson1961,"Buonarroti, Michelangelo",1440,1440,"Buonarroti, Michelangelo",1440,"Buonarroti, Michelangelo"
0001441-Berenson1961,"Buonarroti, Michelangelo",1441,1441,"Buonarroti, Michelangelo",1441,"Buonarroti, Michelangelo"
0001442-Berenson1961,"Buonarroti, Michelangelo",1442,1442,"Buonarroti, Michelangelo",1442,"Buonarroti, Michelangelo"
0001443-Berenson1961,"Buonarroti, Michelangelo",1443,1443,"Buonarroti, Michelangelo",1443,"Buonarroti, Michelangelo"
0001444-Berenson1961,"Buonarroti, Michelangelo",1444,1444,"Buonarroti, Michelangelo",1444,"Buonarroti, Michelangelo"
0001445-Berenson1961,"Buonarroti, Michelangelo",1445,1445,"Buonarroti, Michelangelo",1445,"Buonarroti, Michelangelo"
0001446-Berenson1961,"Buonarroti, Michelangelo",1446,1446,"Buonarroti, Michelangelo",1446,"Buonarroti, Michelangelo"
0001447-Berenson1961,"Buonarroti, Michelangelo",1447,1447,"Buonarroti, Michelangelo",1447,"Buonarroti, Michelangelo"
0001448-Berenson1961,"Buonarroti, Michelangelo",1448,1448,"Buonarroti, Michelangelo",1448,"Buonarroti, Michelangelo"
0001449-Berenson1961,"Buonarroti, Michelangelo",1449,1449,"Buonarroti, Michelangelo",1449,"Buonarroti, Michelangelo"
0001450-Berenson1961,"Buonarroti, Michelangelo",1450,1450,"Buonarroti, Michelangelo",1450,"Buonarroti, Michelangelo"
0001451-Berenson1961,"Buonarroti, Michelangelo",1451,1451,"Buonarroti, Michelangelo",1451,"Buonarroti, Michelangelo"
0001452-Berenson1961,"Buonarroti, Michelangelo",1452,1452,"Buonarroti, Michelangelo",1452,"Buonarroti, Michelangelo"
0001453-Berenson1961,"Buonarroti, Michelangelo",1453,1453,"Buonarroti, Michelangelo",1453,"Buonarroti, Michelangelo"
0001454-Berenson1961,"Buonarroti, Michelangelo",1454,1454,"Buonarroti, Michelangelo",1454,"Buonarroti, Michelangelo"
0001455-Berenson1961,"Buonarroti, Michelangelo",1455,1455,"Buonarroti, Michelangelo",1455,"Buonarroti, Michelangelo"
0001456-Berenson1961,"Buonarroti, Michelangelo",1456,1456,"Buonarroti, Michelangelo",1456,"Buonarroti, Michelangelo"
0001457-Berenson1961,"Buonarroti, Michelangelo",1457,1457,"Buonarroti, Michelangelo",1457,"Buonarroti, Michelangelo"
0001458-Berenson1961,"Buonarroti, Michelangelo",1458,1458,"Buonarroti, Michelangelo",1458,"Buonarroti, Michelangelo"
0001459-Berenson1961,"Buonarroti, Michelangelo",1459,1459,"Buonarroti, Michelangelo",1459,"Buonarroti, Michelangelo"
0001463-Berenson1961,"Buonarroti, Michelangelo",1463,1463,"Buonarroti, Michelangelo",1463,"Buonarroti, Michelangelo"
0001464-Berenson1961,"Buonarroti, Michelangelo",1464,1464,"Buonarroti, Michelangelo",1464,"Buonarroti, Michelangelo"
0001465-Berenson1961,"Buonarroti, Michelangelo",1465,1465,"Buonarroti, Michelangelo",1465,"Buonarroti, Michelangelo"
0001466-Berenson1961,"Buonarroti, Michelangelo",1466,1466,"Buonarroti, Michelangelo",1466,"Buonarroti, Michelangelo"
0001467-Berenson1961,"Buonarroti, Michelangelo",1467,1467,"Buonarroti, Michelangelo",1467,"Buonarroti, Michelangelo"
0001468-Berenson1961,"Buonarroti, Michelangelo",1468,1468,"Buonarroti, Michelangelo",1468,"Buonarroti, Michelangelo"
0001469-Berenson1961,"Buonarroti, Michelangelo",1469,1469,"Buonarroti, Michelangelo",1469,"Buonarroti, Michelangelo"
0001470-Berenson1961,"Buonarroti, Michelangelo",1470,1470,"Buonarroti, Michelangelo",1470,"Buonarroti, Michelangelo"
0001471-Berenson1961,"Buonarroti, Michelangelo",1471,1471,"Buonarroti, Michelangelo",1471,"Buonarroti, Michelangelo"
0001472-Berenson1961,"Buonarroti, Michelangelo",1472,1472,"Buonarroti, Michelangelo",1472,"Buonarroti, Michelangelo"
0001473-Berenson1961,"Buonarroti, Michelangelo",1473,1473,"Buonarroti, Michelangelo",1473,"Buonarroti, Michelangelo"
