0000017-Berenson1961,"Albertinelli, Mariotto",17,"Albertinelli, Mariotto",17,"Albertinelli, Mariotto"
000113B-Berenson1961,"Sarto, Andrea del",113 B,113 B,"Sarto, Andrea del",72,"Sarto, Andrea del"
73,"Sarto, Andrea del"
000115A-Berenson1961,"Sarto, Andrea del",115 A,115 A,"Sarto, Andrea del",74,"Sarto, Andrea del"
000115B-Berenson1961,"Sarto, Andrea del",115 B,115 B,"Sarto, Andrea del",75,"Sarto, Andrea del"
000117A-Berenson1961,"Sarto, Andrea del",117 A,117 A,"Sarto, Andrea del",76,"Sarto, Andrea del"
000117B-Berenson1961,"Sarto, Andrea del",117 B,117 B,"Sarto, Andrea del",77,"Sarto, Andrea del"
000118A-Berenson1961,"Sarto, Andrea del",118 A,118 A,"Sarto, Andrea del",78,"Sarto, Andrea del"
000118B-Berenson1961,"Sarto, Andrea del",118 B,118 B,"Sarto, Andrea del",79,"Sarto, Andrea del"
000118C-Berenson1961,"Sarto, Andrea del",118 C,118 C,"Sarto, Andrea del",80,"Sarto, Andrea del"
000118D-Berenson1961,"Sarto, Andrea del",118 D,118 D,"Sarto, Andrea del",81,"Sarto, Andrea del"
000119A-Berenson1961,"Sarto, Andrea del",119 A,119 A,"Sarto, Andrea del",82,"Sarto, Andrea del"
000119B-Berenson1961,"Sarto, Andrea del",119 B,119 B,"Sarto, Andrea del",83,"Sarto, Andrea del"
000119C-Berenson1961,"Sarto, Andrea del",119 C,119 C,"Sarto, Andrea del",84,"Sarto, Andrea del"
000119D-Berenson1961,"Sarto, Andrea del",119 D,119 D,"Sarto, Andrea del",85,"Sarto, Andrea del"
0000086-Berenson1961,"Sarto, Andrea del",86,86,"Sarto, Andrea del",86,"Sarto, Andrea del"
0000087-Berenson1961,"Sarto, Andrea del",87,87,"Sarto, Andrea del",87,"Sarto, Andrea del"
0000088-Berenson1961,"Sarto, Andrea del",88,88,"Sarto, Andrea del",88,"Sarto, Andrea del"
0000089-Berenson1961,"Sarto, Andrea del",89,89,"Sarto, Andrea del",89,"Sarto, Andrea del"
0000090-Berenson1961,"Sarto, Andrea del",90,90,"Sarto, Andrea del",90,"Sarto, Andrea del"
0000091-Berenson1961,"Sarto, Andrea del",91,91,"Sarto, Andrea del",91,"Sarto, Andrea del"
0000092-Berenson1961,"Sarto, Andrea del",92,92,"Sarto, Andrea del",92,"Sarto, Andrea del"
0000093-Berenson1961,"Sarto, Andrea del",93,93,"Sarto, Andrea del",93,"Sarto, Andrea del"
0000094-Berenson1961,"Sarto, Andrea del",94,94,"Sarto, Andrea del",94,"Sarto, Andrea del"
0000095-Berenson1961,"Sarto, Andrea del",95,95,"Sarto, Andrea del",95,"Sarto, Andrea del"
0000096-Berenson1961,"Sarto, Andrea del",96,96,"Sarto, Andrea del",96,"Sarto, Andrea del"
0000097-Berenson1961,"Sarto, Andrea del",97,97,"Sarto, Andrea del",97,"Sarto, Andrea del"
0000098-Berenson1961,"Sarto, Andrea del",98,98,"Sarto, Andrea del",98,"Sarto, Andrea del"
0000099-Berenson1961,"Sarto, Andrea del",99,99,"Sarto, Andrea del",99,"Sarto, Andrea del"
0000100-Berenson1961,"Sarto, Andrea del",100,100,"Sarto, Andrea del",100,"Sarto, Andrea del"
0000101-Berenson1961,"Sarto, Andrea del",101,101,"Sarto, Andrea del",101,"Sarto, Andrea del"
0000102-Berenson1961,"Sarto, Andrea del",102,102,"Sarto, Andrea del",102,"Sarto, Andrea del"
0000103-Berenson1961,"Sarto, Andrea del",103,103,"Sarto, Andrea del",103,"Sarto, Andrea del"
0000104-Berenson1961,"Sarto, Andrea del",104,104,"Sarto, Andrea del",104,"Sarto, Andrea del"
0000105-Berenson1961,"Sarto, Andrea del",105,105,"Sarto, Andrea del",105,"Sarto, Andrea del"
0000106-Berenson1961,"Sarto, Andrea del",106,106,"Sarto, Andrea del",106,"Sarto, Andrea del"
0000107-Berenson1961,"Sarto, Andrea del",107,107,"Sarto, Andrea del",107,"Sarto, Andrea del"
0000108-Berenson1961,"Sarto, Andrea del",108,108,"Sarto, Andrea del",108,"Sarto, Andrea del"
0000109-Berenson1961,"Sarto, Andrea del",109,109,"Sarto, Andrea del",109,"Sarto, Andrea del"
0000110-Berenson1961,"Sarto, Andrea del",110,110,"Sarto, Andrea del",110,"Sarto, Andrea del"
0000111-Berenson1961,"Sarto, Andrea del",111,111,"Sarto, Andrea del",111,"Sarto, Andrea del"
0000112-Berenson1961,"Sarto, Andrea del",112,112,"Sarto, Andrea del",112,"Sarto, Andrea del"
0000113-Berenson1961,"Sarto, Andrea del",113,113,"Sarto, Andrea del",113,"Sarto, Andrea del"
0000114-Berenson1961,"Sarto, Andrea del",114,114,"Sarto, Andrea del",114,"Sarto, Andrea del"
0000115-Berenson1961,"Sarto, Andrea del",115,115,"Sarto, Andrea del",115,"Sarto, Andrea del"
0000116-Berenson1961,"Sarto, Andrea del",116,116,"Sarto, Andrea del",116,"Sarto, Andrea del"
0000117-Berenson1961,"Sarto, Andrea del",117,117,"Sarto, Andrea del",117,"Sarto, Andrea del"
0000118-Berenson1961,"Sarto, Andrea del",118,118,"Sarto, Andrea del",118,"Sarto, Andrea del"
0000119-Berenson1961,"Sarto, Andrea del",119,119,"Sarto, Andrea del",119,"Sarto, Andrea del"
0000120-Berenson1961,"Sarto, Andrea del",120,120,"Sarto, Andrea del",120,"Sarto, Andrea del"
